Rum,Device,Model,Varenummer,Watt per time,Informations kilde
Køkken,Kaffemaskine,Melitta Cafina,115648,2110,Elgiganten
Køkken,Kaffemaskine,Moccamaster Automatic,350817,1520,Elgiganten
Køkken,Kaffemaskine,Wilfa Svart Precision,WSP2A,1840,Elgiganten
Køkken,Kaffemaskine,Melitta MEL20347 M170 MT,115666,1880,Elgiganten
Køkken,Kaffemaskine,Melitta M170 M,115664,2025,Elgiganten
Køkken,Kaffemaskine,Braun Breakfast 1,328552,1000,Elgiganten
Køkken,Kaffemaskine,Electrolux EKF7700,195927,1080,Elgiganten
Køkken,Kaffemaskine,Braun PurEase,224486,1000,Elgiganten
Køkken,Kaffemaskine,MELITTA EXCELLENT 4.0,856410,1455,Power
Køkken,Kaffemaskine,ELECTROLUX E7CM1-4MTM EXPLORE,986535,1600,Power
Køkken,Køleskab,GRUNDIG GR7700 GLRN,1430707,16,Power
Køkken,Køleskab,GORENJE ADVANCED LINE,1458983,14,Power
Køkken,Køleskab,WHIRLPOOL SW8 AM2Q,1109103,13,Power
Køkken,Køleskab,POINT KS376W1 KØLESKAB,1287045,14,Power
Køkken,Køleskab,LG GLT71MBCSZ KØLESKAB,1207466,14,Power
Køkken,Køleskab,SIEMENS IQ300 KS36VFWEP,1116221,13,Power
Køkken,Køleskab,Gram køleskab LC342186,452707,17,Elgiganten
Køkken,Køleskab,Samsung køleskab RR39M70107F/EF,431809,17,Elgiganten
Køkken,Køleskab,Electrolux køleskab LRB3DE18S indbygget,174874,13,Elgiganten
Køkken,Køleskab,Logik køleskab LUL55W20E,166634,13,Elgiganten
Køkken,Fryser,Logik Smart Climate fryser L142CFW20E,211827,26,Elgiganten
Køkken,Fryser,Logik kummefryser 198CFW20E,166641,29,Elgiganten
Køkken,Fryser,Whirlpool kummefryser W390FO,157152,30,Elgiganten
Køkken,Fryser,Hisense kummefryser FC594D4AW1,339150,40,Elgiganten
Køkken,Fryser,Whirlpool kummefryser WHE31331,28057,34,Elgiganten
Køkken,Fryser,GRUNDIG GFRN 66820 X FRYSER,1430711,29,Power
Køkken,Fryser,LG GFT61MBCSZ FRYSER,1207467,30,Power
Køkken,Fryser,ORENJE ADVANCED LINE FNP619EAW6L,1458986,28,Power
Køkken,Fryser,AEG 7000-SERIEN AGS725ECNW,1874532,27,Power
Køkken,Fryser,SIEMENS IQ300 GS36VVWEW,1116228,25,Power
Køkken,Ovn,AEG Ovn BCP6020M,300708,690,Elgiganten
Køkken,Ovn,Matsui indbygget ovn MBCONX19E,19428,730,Elgiganten
Køkken,Ovn,Bosch Series 8 indbygningsovn,HBG672BS1,690,Elgiganten
Køkken,Ovn,MIELE H 2265-1 B ACTIVE CLST,818260,710,Elgiganten
Køkken,Ovn,Siemens ovn,VB558C0S0,1100,Elgiganten
Køkken,Ovn,Bosch Ovn HBF010BR3S,276824,790,Elgiganten
Køkken,Ovn,Miele indbygget ovn H2265-1BP,28052,710,Elgiganten
Køkken,Ovn,Siemens Ovn,330549,790,Elgiganten
Køkken,Ovn,Electrolux pyrolyse ovn,454150,690,Elgiganten
Køkken,Ovn,Samsung ovn,461184,1050,Elgiganten
Køkken,Opvaskemaskine,Gram opvaskemaskine,496448,494,Elgiganten
Køkken,Opvaskemaskine,Electrolux opvaskemaskine,325009,545,Elgiganten
Køkken,Opvaskemaskine,Siemens iQ300,206108,545,Elgiganten
Køkken,Opvaskemaskine,Bosch opvaskemaskine,206069,538,Elgiganten
Køkken,Opvaskemaskine,Logik Slimline,175058,378,Elgiganten
Køkken,Opvaskemaskine,Bosch Opvaskemaskine,534258,545,Elgiganten
Køkken,Opvaskemaskine,Bosch Serie 4,206072,538,Elgiganten
Køkken,Opvaskemaskine,Gram opvaskemaskine,222524,545,Elgiganten
Køkken,Opvaskemaskine,Electrolux opvaskemaskine,325008,545,Elgiganten
Køkken,Opvaskemaskine,Bosch Serie 6 opvaskemaskine,206092,474,Elgiganten
Stue,Led-pære,STAR TRADING 363-46,1236991,2,Power
Stue,Led-pære,STAR TRADING 358-82-4,1236874,14,Power
Stue,Led-pære,STAR TRADING 352-57,1236805,8,Power
Stue,Led-pære,STAR TRADING 352-34-5,1236797,8,Power
Stue,Led-pære,STAR TRADING E27 G95,1381539,1,Power
Stue,Led-pære,STAR TRADING 363-34,1236890,2,Power
Stue,Led-pære,STAR TRADING 357-05-2,1236853,5,Power
Stue,Led-pære,STAR TRADING 375-87 E27,1237039,8,Power
Stue,Led-pære,PHILIPS LED PÆRE E14,1821133,2,Power
Stue,Led-pære,PHILIPS LED PÆRE E27,1821130,5,Power
Stue,Fladskærms Tv,"SAMSUNG 65"" 4K QLED TV",1327567,100,Power
Stue,Fladskærms Tv,"SAMSUNG 55"" 4K QLED TV",1327566,77,Power
Stue,Fladskærms Tv,"SAMSUNG 50"" 4K LED TV",1152828,86,Power
Stue,Fladskærms Tv,"LG 55"" 4K QNED TV",1333763,82,Power
Stue,Fladskærms Tv,"SHARP 50"" 4K ANDROID TV",1933101,69,Power
Stue,Fladskærms Tv,"PHILIPS 58"" 4K LED TV",1732702,90,Power
Stue,Fladskærms Tv,"LG 55"" 4K NANOCELL TV",1333767,81,Power
Stue,Fladskærms Tv,"SAMSUNG 65"" 4K LED TV",1152830,115,Power
Stue,Fladskærms Tv,"SAMSUNG 65"" 4K QD-OLED TV",1327605,140,Power
Stue,Fladskærms Tv,"HISENSE 55"" 4K QLED TV",1175331,90,Power
Kontor,Router,TP-Link AX10 dual-band wi-fi 6 router,150307,8,Elgiganten
Kontor,Router,Asus TUF-AX3000 V2 router,510080,14,Elgiganten
Kontor,Router,Huawei B535-232a 4G LTE mobilt bredbånd,533691,12,Elgiganten
Kontor,Router,"TP-Link M7200 4G LTE mobilt bredbånd, wi-fi hotspot",25053,5,Elgiganten
Kontor,Router,Netgear Nighthawk MR2100 mobil Gigabit lTE router,46380,6,Elgiganten
Kontor,Router,Huawei Mobile WiFi E5783-230a router,533695,5,Elgiganten
Kontor,Router,Asus RT-AX86S router,460637,16,Elgiganten
Kontor,Router,Netgear Nighthawk RAX10 4-Stream AX1800 WiFi 6 router,297766,7,Elgiganten
Kontor,Router,TP-Link Archer router MR500 4G+ LTE WiFi,461214,8,Elgiganten
Kontor,Router,TP-Link AXE5400 router Archer AXE75,461218,25,Elgiganten
